"D1.source.country","D1.destination.country"
"Liberia","Nigeria"
"Djibouti","United Arab Emirates"
"Djibouti","Saudi Arabia"
"Djibouti","Somalia"
"Somalia","Kenya"
"Kenya","Somalia"
"Thailand","Singapore"
"Australia","Singapore"
"China","Singapore"
"China","Singapore"
"Hong Kong","Singapore"
"Thailand","Singapore"
"Japan","Philippines"
"Japan","Taiwan"
"Malaysia","Singapore"
"Philippines","Japan"
"Philippines","Singapore"
"Malaysia","Singapore"
"Australia","Singapore"
"Cambodia","Singapore"
"Cambodia","Singapore"
"Burma","Singapore"
"Vietnam","Singapore"
"Singapore","Thailand"
"Singapore","Australia"
"Singapore","China"
"Singapore","China"
"Singapore","Hong Kong"
"Singapore","Thailand"
"Singapore","Malaysia"
"Singapore","Philippines"
"Singapore","Malaysia"
"Singapore","Australia"
"Singapore","Cambodia"
"Singapore","Cambodia"
"Singapore","Burma"
"Singapore","Vietnam"
"Singapore","China"
"Singapore","Taiwan"
"China","Singapore"
"Taiwan","Japan"
"Taiwan","Singapore"
"Switzerland","Italy"
"Germany","Switzerland"
"Italy","Switzerland"
"Italy","Germany"
"Italy","Germany"
"Italy","Switzerland"
"Germany","Italy"
"Germany","Italy"
"Germany","Croatia"
"Germany","Italy"
"Austria","Switzerland"
"Germany","Italy"
"Italy","Germany"
"Italy","Germany"
"Austria","Switzerland"
"Croatia","Germany"
"Switzerland","Germany"
"Switzerland","Italy"
"Switzerland","Austria"
"Switzerland","Austria"
"Bahamas","United States"
"Bahamas","United States"
"Bahamas","United States"
"United States","Bahamas"
"United States","Bahamas"
"United States","Bahamas"
"United States","Bahamas"
"United States","Bahamas"
"United States","Bahamas"
"United States","Bahamas"
"Bahamas","United States"
"Bahamas","United States"
"Bahamas","United States"
"United States","Bahamas"
"United States","Bahamas"
"Bahamas","United States"
"Bahamas","United States"
"Bahamas","United States"
"Bahamas","United States"
"United States","Bahamas"
"United States","Bahamas"
"Bahamas","United States"
"Netherlands","Morocco"
"Netherlands","Morocco"
"Spain","Morocco"
"Spain","Morocco"
"Spain","Morocco"
"Italy","Morocco"
"Italy","Morocco"
"Belgium","Morocco"
"Belgium","Morocco"
"Belgium","Morocco"
"Germany","Morocco"
"Morocco","Spain"
"Morocco","Italy"
"Morocco","Italy"
"Morocco","Belgium"
"Morocco","Italy"
"Morocco","United Kingdom"
"Morocco","France"
"Morocco","France"
"Morocco","Turkey"
"Morocco","France"
"Morocco","Italy"
"Italy","Morocco"
"Morocco","France"
"United Kingdom","Morocco"
"United Kingdom","Morocco"
"France","Morocco"
"France","Morocco"
"France","Morocco"
"France","Morocco"
"Morocco","Netherlands"
"Morocco","Spain"
"Morocco","Belgium"
"Morocco","Germany"
"Morocco","France"
"Morocco","Spain"
"Spain","Morocco"
"Turkey","Morocco"
"France","Morocco"
"Morocco","Netherlands"
"Morocco","Spain"
"Morocco","Belgium"
"Morocco","United Kingdom"
"Italy","Morocco"
"Aruba","Venezuela"
"Aruba","Venezuela"
"Netherlands Antilles","Aruba"
"Venezuela","Aruba"
"Venezuela","Aruba"
"Uzbekistan","Russia"
"Russia","Uzbekistan"
"Russia","Uzbekistan"
"Russia","Uzbekistan"
"Russia","Uzbekistan"
"Russia","Uzbekistan"
"Russia","Uzbekistan"
"Russia","Montenegro"
"Uzbekistan","Russia"
"Uzbekistan","Russia"
"Uzbekistan","Russia"
"Uzbekistan","Russia"
"Uzbekistan","Russia"
"Montenegro","Russia"
"Antigua and Barbuda","Guadeloupe"
"French Guiana","Martinique"
"Netherlands Antilles","Dominican Republic"
"Dominica","Guadeloupe"
"Dominica","Netherlands Antilles"
"Martinique","French Guiana"
"Martinique","Guadeloupe"
"Martinique","Dominican Republic"
"Martinique","Saint Lucia"
"Guadeloupe","Antigua and Barbuda"
"Guadeloupe","Dominica"
"Guadeloupe","Martinique"
"Guadeloupe","France"
"Guadeloupe","Dominican Republic"
"Guadeloupe","Netherlands Antilles"
"France","Guadeloupe"
"Dominican Republic","Guadeloupe"
"Dominican Republic","Netherlands Antilles"
"Saint Lucia","Martinique"
"Netherlands Antilles","Dominica"
"Netherlands Antilles","Guadeloupe"
"Netherlands Antilles","Dominican Republic"
"China","Northern Mariana Islands"
"China","Thailand"
"China","Australia"
"China","Taiwan"
"China","Hong Kong"
"China","Thailand"
"China","South Korea"
"China","Australia"
"China","Taiwan"
"Hong Kong","China"
"Hong Kong","China"
"Hong Kong","China"
"Thailand","China"
"Thailand","China"
"South Korea","China"
"China","Taiwan"
"Australia","China"
"China","Vietnam"
"China","Northern Mariana Islands"
"Vietnam","China"
"China","Canada"
"Northern Mariana Islands","China"
"Northern Mariana Islands","China"
"Australia","China"
"Taiwan","China"
"Taiwan","China"
"Taiwan","China"
"China","Hong Kong"
"Canada","China"
"China","Hong Kong"
"Egypt","Israel"
"Israel","Egypt"
"Uzbekistan","Russia"
"Russia","Uzbekistan"
"Thailand","Bangladesh"
"India","Bangladesh"
"India","Bangladesh"
"Bangladesh","India"
"Bangladesh","Oman"
"Bangladesh","Thailand"
"Bangladesh","India"
"Bangladesh","United Arab Emirates"
"Bangladesh","Saudi Arabia"
"Bangladesh","Nepal"
"Bangladesh","Malaysia"
"Bangladesh","Oman"
"United Arab Emirates","Bangladesh"
"Saudi Arabia","Bangladesh"
"Nepal","Bangladesh"
"Malaysia","Bangladesh"
"Oman","Bangladesh"
"Oman","Bangladesh"
"United States","Argentina"
"Argentina","United States"
"Argentina","United States"
"Argentina","United States"
"Argentina","Dominican Republic"
"United States","Argentina"
"United States","Argentina"
"United States","Dominican Republic"
"Dominican Republic","Argentina"
"Dominican Republic","United States"
"Colombia","Mexico"
"Mexico","United States"
"Mexico","United States"
"Guatemala","Mexico"
"Cuba","Mexico"
"United States","Mexico"
"United States","Mexico"
"United States","Mexico"
"Mexico","Colombia"
"Mexico","Guatemala"
"Mexico","Cuba"
"Mexico","United States"
"Mexico","United States"
"Mexico","United States"
"Mexico","Costa Rica"
"Mexico","United States"
"United States","Mexico"
"Mexico","United States"
"Mexico","United States"
"United States","Mexico"
"United States","Mexico"
"United States","Mexico"
"United States","Mexico"
"Costa Rica","Mexico"
"United States","Mexico"
"United States","Mexico"
"Mexico","United States"
"Mexico","United States"
"India","Afghanistan"
"India","Afghanistan"
"United Arab Emirates","Afghanistan"
"Afghanistan","India"
"Afghanistan","Pakistan"
"Pakistan","Afghanistan"
"Pakistan","Afghanistan"
"Afghanistan","India"
"Afghanistan","United Arab Emirates"
"Afghanistan","Pakistan"
"Turkey","Switzerland"
"France","Egypt"
"Egypt","France"
"Egypt","Switzerland"
"Serbia","Switzerland"
"Egypt","Switzerland"
"Macedonia","Switzerland"
"Switzerland","Turkey"
"Switzerland","Egypt"
"Switzerland","Serbia"
"Switzerland","Egypt"
"Switzerland","Macedonia"
"Spain","Germany"
"Spain","Germany"
"Algeria","Germany"
"Netherlands","Germany"
"Italy","Germany"
"Italy","Germany"
"Sweden","Germany"
"Sweden","Germany"
"Sweden","Germany"
"Greece","Germany"
"Greece","Germany"
"Turkey","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Italy","Germany"
"Serbia","Germany"
"Norway","Germany"
"United Kingdom","Germany"
"United Kingdom","Germany"
"France","Germany"
"France","Germany"
"France","Germany"
"France","Germany"
"France","Germany"
"Spain","Germany"
"Spain","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Belgium","Germany"
"France","Germany"
"Hungary","Germany"
"Hungary","Germany"
"Hungary","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"France","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Germany","Algeria"
"Germany","Sweden"
"Germany","Greece"
"Germany","Turkey"
"Germany","Spain"
"Germany","France"
"Germany","Italy"
"Germany","Italy"
"Germany","Hungary"
"Germany","Italy"
"Germany","Greece"
"Germany","France"
"Germany","Italy"
"Germany","Croatia"
"Germany","Ireland"
"Germany","United Kingdom"
"Germany","Portugal"
"Germany","Italy"
"Germany","Greece"
"Germany","Spain"
"Germany","Greece"
"Germany","Greece"
"Germany","Greece"
"Germany","Austria"
"Germany","Greece"
"Germany","United Kingdom"
"Germany","Portugal"
"Germany","Spain"
"Germany","United Kingdom"
"Germany","Italy"
"Germany","Italy"
"Germany","France"
"Germany","Morocco"
"Germany","Italy"
"Germany","Spain"
"Germany","Italy"
"Germany","Czech Republic"
"Germany","Italy"
"Germany","Croatia"
"Germany","Morocco"
"Germany","Greece"
"Germany","Croatia"
"Germany","Turkey"
"Germany","Bosnia and Herzegovina"
"Germany","Greece"
"Germany","Croatia"
"Germany","United Kingdom"
"Germany","Italy"
"Germany","Austria"
"Germany","Israel"
"Germany","Tunisia"
"Germany","Italy"
"Germany","Austria"
"Germany","Italy"
"Germany","Poland"
"Germany","Spain"
"Germany","Croatia"
"Germany","Croatia"
"Germany","Switzerland"
"France","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"United Kingdom","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Germany","Greece"
"Germany","Spain"
"Germany","Turkey"
"Germany","Croatia"
"Ireland","Germany"
"Ireland","Germany"
"Germany","Italy"
"Germany","Sweden"
"Germany","Spain"
"Germany","France"
"Germany","Spain"
"Germany","Italy"
"Germany","France"
"Germany","Italy"
"Germany","Italy"
"Germany","United Kingdom"
"Germany","Croatia"
"Germany","Ireland"
"Germany","Switzerland"
"Germany","Greece"
"Germany","Spain"
"Germany","Poland"
"Germany","France"
"Germany","Spain"
"Germany","France"
"Germany","Italy"
"Germany","United Kingdom"
"Germany","Italy"
"Germany","Spain"
"Germany","Poland"
"Germany","Czech Republic"
"Germany","Serbia"
"Germany","Greece"
"Germany","Croatia"
"Germany","Italy"
"Germany","Italy"
"Germany","Italy"
"Germany","Poland"
"Germany","Poland"
"Germany","Croatia"
"United Kingdom","Germany"
"Portugal","Germany"
"Portugal","Germany"
"Portugal","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Switzerland","Germany"
"Switzerland","Germany"
"Germany","Spain"
"Germany","Italy"
"Germany","Croatia"
"Germany","Italy"
"Germany","Greece"
"Germany","Italy"
"Germany","Italy"
"Germany","Spain"
"Germany","Serbia"
"Germany","Turkey"
"Germany","Greece"
"Germany","Croatia"
"Germany","United Kingdom"
"Germany","Italy"
"Germany","Italy"
"Germany","Austria"
"Germany","Netherlands"
"Germany","Sweden"
"Germany","Spain"
"Germany","Norway"
"Germany","United Kingdom"
"Germany","France"
"Germany","Hungary"
"Germany","France"
"Germany","Italy"
"Germany","Croatia"
"Germany","Portugal"
"Germany","Italy"
"Germany","Switzerland"
"Germany","Greece"
"Germany","Austria"
"Germany","United Kingdom"
"Germany","Spain"
"Germany","United Kingdom"
"Germany","Italy"
"Germany","Italy"
"Germany","France"
"Germany","Italy"
"Germany","Norway"
"Germany","Spain"
"Germany","Czech Republic"
"Germany","Serbia"
"Germany","Croatia"
"Germany","Turkey"
"Germany","Greece"
"Germany","Croatia"
"Germany","France"
"Germany","Italy"
"Germany","Austria"
"Germany","Italy"
"Germany","Switzerland"
"Finland","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Austria","Germany"
"Austria","Germany"
"Austria","Germany"
"Poland","Germany"
"Poland","Germany"
"Greece","Germany"
"Greece","Germany"
"United Kingdom","Germany"
"United Kingdom","Germany"
"United Kingdom","Germany"
"United Kingdom","Germany"
"Italy","Germany"
"Portugal","Germany"
"Portugal","Germany"
"Spain","Germany"
"France","Germany"
"Spain","Germany"
"Spain","Germany"
"United Kingdom","Germany"
"United Kingdom","Germany"
"France","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"France","Germany"
"France","Germany"
"France","Germany"
"Morocco","Germany"
"United Kingdom","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Norway","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Spain","Germany"
"Italy","Germany"
"Poland","Germany"
"Czech Republic","Germany"
"Czech Republic","Germany"
"Czech Republic","Germany"
"Serbia","Germany"
"Serbia","Germany"
"Serbia","Germany"
"Serbia","Germany"
"Serbia","Germany"
"Italy","Germany"
"Croatia","Germany"
"Morocco","Germany"
"Greece","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Turkey","Germany"
"Bosnia and Herzegovina","Germany"
"Bosnia and Herzegovina","Germany"
"Bosnia and Herzegovina","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Greece","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Croatia","Germany"
"United Kingdom","Germany"
"United Kingdom","Germany"
"United Kingdom","Germany"
"Germany","Spain"
"Germany","Greece"
"Germany","Spain"
"Germany","Italy"
"Germany","Serbia"
"Germany","France"
"Germany","Spain"
"Germany","Italy"
"Germany","Belgium"
"Germany","Hungary"
"Germany","Italy"
"Germany","Greece"
"Germany","Italy"
"Germany","Croatia"
"Germany","Portugal"
"Germany","Italy"
"Germany","Greece"
"Germany","Spain"
"Germany","Poland"
"Germany","Greece"
"Germany","United Kingdom"
"Germany","Portugal"
"Germany","Italy"
"Germany","Italy"
"Germany","Italy"
"Germany","Spain"
"Germany","Serbia"
"Germany","Croatia"
"Germany","Turkey"
"Germany","Bosnia and Herzegovina"
"Germany","Greece"
"Germany","Croatia"
"Germany","United Kingdom"
"Germany","Italy"
"Germany","Austria"
"Germany","Croatia"
"Germany","Croatia"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Austria","Germany"
"France","Germany"
"Israel","Germany"
"Italy","Germany"
"Tunisia","Germany"
"Germany","Spain"
"Germany","Italy"
"Germany","United Kingdom"
"Germany","France"
"Germany","Italy"
"Germany","Italy"
"Germany","Croatia"
"Germany","Italy"
"Germany","Finland"
"Germany","Greece"
"Germany","Spain"
"Germany","Austria"
"Germany","United Kingdom"
"Germany","Italy"
"Germany","France"
"Germany","Spain"
"Germany","Serbia"
"Germany","Turkey"
"Germany","Bosnia and Herzegovina"
"Germany","Croatia"
"Germany","Austria"
"Germany","Italy"
"Germany","Croatia"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Austria","Germany"
"Austria","Germany"
"Austria","Germany"
"Austria","Germany"
"Austria","Germany"
"Italy","Germany"
"Italy","Germany"
"Italy","Germany"
"Poland","Germany"
"Poland","Germany"
"Poland","Germany"
"Spain","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Croatia","Germany"
"Switzerland","Germany"
"Switzerland","Germany"
"Panama","Costa Rica"
"Nicaragua","Costa Rica"
"Costa Rica","Panama"
"Costa Rica","Nicaragua"
"South Sudan","Kenya"
"Kenya","Tanzania"
"Kenya","South Sudan"
"Tanzania","Kenya"
"Malaysia","Philippines"
"Thailand","Philippines"
"Brunei","Philippines"
"China","Philippines"
"Philippines","Hong Kong"
"Philippines","South Korea"
"Philippines","South Korea"
"Philippines","Singapore"
"Indonesia","Philippines"
"Philippines","Hong Kong"
"Philippines","Macau"
"Philippines","Singapore"
"Indonesia","Philippines"
"United Arab Emirates","Philippines"
"Vietnam","Philippines"
"Hong Kong","Philippines"
"Hong Kong","Philippines"
"Hong Kong","Philippines"
"Hong Kong","Philippines"
"Thailand","Philippines"
"South Korea","Philippines"
"South Korea","Philippines"
"South Korea","Philippines"
"Philippines","Hong Kong"
"Philippines","Singapore"
"Japan","Philippines"
"Philippines","South Korea"
"Malaysia","Philippines"
"Macau","Philippines"
"Macau","Philippines"
"Philippines","Malaysia"
"Philippines","Thailand"
"Philippines","Brunei"
"Philippines","China"
"Philippines","Indonesia"
"Philippines","Indonesia"
"Philippines","United Arab Emirates"
"Philippines","Vietnam"
"Philippines","Hong Kong"
"Philippines","Thailand"
"Philippines","South Korea"
"Philippines","Japan"
"Philippines","Malaysia"
"Philippines","Macau"
"Philippines","Japan"
"Philippines","Japan"
"Philippines","China"
"Philippines","South Korea"
"Philippines","China"
"Philippines","Cambodia"
"Philippines","Vietnam"
"Philippines","Singapore"
"Philippines","Taiwan"
"Philippines","China"
"Japan","Philippines"
"Japan","Philippines"
"China","Philippines"
"South Korea","Philippines"
"South Korea","Philippines"
"China","Philippines"
"Cambodia","Philippines"
"Vietnam","Philippines"
"Singapore","Philippines"
"Singapore","Philippines"
"Singapore","Philippines"
"Singapore","Philippines"
"Taiwan","Philippines"
"China","Philippines"
"Antigua and Barbuda","Saint Kitts and Nevis"
"Saint Kitts and Nevis","Antigua and Barbuda"
"Russia","Norway"
"Norway","Russia"
"Argentina","Uruguay"
"Argentina","Uruguay"
"Paraguay","Uruguay"
"Brazil","Uruguay"
"Argentina","Uruguay"
"Brazil","Uruguay"
"Brazil","Uruguay"
"Uruguay","Argentina"
"Uruguay","Paraguay"
"Uruguay","Brazil"
"Uruguay","Argentina"
"Uruguay","Brazil"
"Uruguay","Brazil"
"Uruguay","Brazil"
"Uruguay","Chile"
"Uruguay","Argentina"
"Brazil","Uruguay"
"Chile","Uruguay"
"Belize","Guatemala"
"Guatemala","Belize"
"Guatemala","Honduras"
"Guatemala","Honduras"
"Honduras","Guatemala"
"Honduras","Guatemala"
"Honduras","Guatemala"
"Thailand","India"
"Thailand","India"
"India","United Arab Emirates"
"India","Oman"
"India","Thailand"
"India","United Arab Emirates"
"India","Thailand"
"India","United Arab Emirates"
"India","Nepal"
"United Arab Emirates","India"
"United Arab Emirates","India"
"United Arab Emirates","India"
"United Arab Emirates","India"
"United Arab Emirates","India"
"Nepal","India"
"India","United Arab Emirates"
"India","Singapore"
"Oman","India"
"Singapore","India"
"India","United Arab Emirates"
"Italy","Israel"
"France","Israel"
"Germany","Israel"
"Georgia","Israel"
"Israel","Italy"
"Israel","France"
"Israel","Germany"
"Israel","Georgia"
"Armenia","Russia"
"Czech Republic","Russia"
"Russia","Armenia"
"Russia","Czech Republic"
"Latvia","Spain"
"Spain","Latvia"
"Thailand","South Korea"
"Thailand","South Korea"
"Philippines","South Korea"
"Philippines","South Korea"
"Japan","South Korea"
"South Korea","Japan"
"South Korea","Japan"
"Guam","South Korea"
"Hong Kong","South Korea"
"South Korea","Thailand"
"South Korea","Philippines"
"South Korea","Japan"
"South Korea","Guam"
"South Korea","Hong Kong"
"South Korea","Japan"
"South Korea","Philippines"
"South Korea","Japan"
"South Korea","Japan"
"South Korea","China"
"Japan","South Korea"
"Japan","South Korea"
"Philippines","South Korea"
"Japan","South Korea"
"Japan","South Korea"
"Japan","South Korea"
"South Korea","Thailand"
"China","South Korea"
"Aruba","Venezuela"
"Aruba","Netherlands Antilles"
"Aruba","Dominican Republic"
"Aruba","United States"
"Aruba","Venezuela"
"Netherlands Antilles","Aruba"
"Venezuela","Netherlands Antilles"
"Venezuela","Aruba"
"Venezuela","Netherlands Antilles"
"United States","Netherlands Antilles"
"Netherlands Antilles","Aruba"
"Netherlands Antilles","Venezuela"
"Netherlands Antilles","Venezuela"
"Netherlands Antilles","United States"
"Netherlands Antilles","Jamaica"
"Netherlands Antilles","Venezuela"
"Netherlands Antilles","Venezuela"
"Netherlands Antilles","Colombia"
"Netherlands Antilles","United States"
"Netherlands Antilles","Suriname"
"Netherlands Antilles","Trinidad and Tobago"
"Netherlands Antilles","Dominican Republic"
"Netherlands Antilles","Venezuela"
"Jamaica","Netherlands Antilles"
"Dominican Republic","Aruba"
"Venezuela","Netherlands Antilles"
"Venezuela","Netherlands Antilles"
"Colombia","Netherlands Antilles"
"United States","Aruba"
"United States","Netherlands Antilles"
"Haiti","Netherlands Antilles"
"Suriname","Netherlands Antilles"
"Suriname","Trinidad and Tobago"
"Trinidad and Tobago","Netherlands Antilles"
"Trinidad and Tobago","Suriname"
"Dominican Republic","Netherlands Antilles"
"Dominican Republic","Netherlands Antilles"
"Netherlands Antilles","Haiti"
"Netherlands Antilles","Dominican Republic"
"Venezuela","Aruba"
"Venezuela","Netherlands Antilles"
"Russia","Tajikistan"
"Kazakhstan","Tajikistan"
"India","Tajikistan"
"Russia","Tajikistan"
"Russia","Tajikistan"
"Tajikistan","Russia"
"Tajikistan","Kazakhstan"
"Tajikistan","India"
"Tajikistan","Russia"
"Tajikistan","Kyrgyzstan"
"Tajikistan","Iran"
"Tajikistan","Turkey"
"Tajikistan","Russia"
"Tajikistan","Russia"
"Tajikistan","Russia"
"Tajikistan","United Arab Emirates"
"Tajikistan","Russia"
"Tajikistan","China"
"Kyrgyzstan","Tajikistan"
"Iran","Tajikistan"
"Turkey","Tajikistan"
"Tajikistan","Russia"
"Tajikistan","Russia"
"Tajikistan","Russia"
"Tajikistan","Russia"
"Russia","Tajikistan"
"Russia","Tajikistan"
"Russia","Tajikistan"
"Russia","Tajikistan"
"Russia","Tajikistan"
"Russia","Tajikistan"
"United Arab Emirates","Tajikistan"
"Russia","Tajikistan"
"China","Tajikistan"
"Panama","Costa Rica"
"Panama","Turkey"
"Turkey","Panama"
"Costa Rica","Panama"
"Kazakhstan","Russia"
"Russia","Kazakhstan"
"Armenia","Russia"
"Russia","Turkey"
"Turkey","Russia"
"Russia","Armenia"
"Thailand","China"
"Thailand","South Korea"
"China","Thailand"
"China","Thailand"
"Thailand","South Korea"
"Thailand","China"
"Thailand","South Korea"
"South Korea","Thailand"
"South Korea","Thailand"
"South Korea","Thailand"
"Aruba","Venezuela"
"Aruba","United States"
"Aruba","Venezuela"
"Venezuela","Aruba"
"United States","Aruba"
"Venezuela","Aruba"
"China","Singapore"
"Singapore","China"
"Thailand","Burma"
"China","Burma"
"South Korea","Burma"
"Malaysia","Burma"
"Cambodia","Burma"
"Burma","Thailand"
"Burma","China"
"Burma","South Korea"
"Burma","Malaysia"
"Burma","Cambodia"
"Burma","Singapore"
"Singapore","Burma"
"Turkey","Russia"
"Turkey","Russia"
"France","Turkey"
"Cyprus","Turkey"
"Turkey","France"
"Turkey","Cyprus"
"Turkey","Ukraine"
"Russia","Turkey"
"Ukraine","Turkey"
"Russia","Turkey"
"Uruguay","Argentina"
"Argentina","Uruguay"
"Jordan","Libya"
"Jordan","Libya"
"Libya","Jordan"
"Libya","Egypt"
"Libya","Morocco"
"Libya","Turkey"
"Libya","Saudi Arabia"
"Libya","Tunisia"
"Egypt","Libya"
"Egypt","Libya"
"Morocco","Libya"
"Morocco","Libya"
"United Arab Emirates","Libya"
"Italy","Libya"
"Egypt","Libya"
"Turkey","Libya"
"Turkey","Libya"
"Turkey","Libya"
"Saudi Arabia","Libya"
"Saudi Arabia","Libya"
"Libya","Turkey"
"Libya","Tunisia"
"Libya","Tunisia"
"Tunisia","Libya"
"Tunisia","Libya"
"Libya","Jordan"
"Libya","Egypt"
"Libya","Morocco"
"Libya","Italy"
"Libya","Egypt"
"Libya","Turkey"
"Libya","Saudi Arabia"
"Libya","Tunisia"
"Libya","Tunisia"
"Tunisia","Libya"
"Tunisia","Libya"
"Tunisia","Libya"
"Malaysia","China"
"Thailand","China"
"South Korea","China"
"Thailand","China"
"Hong Kong","China"
"Thailand","China"
"Japan","China"
"Japan","China"
"Taiwan","China"
"Japan","China"
"Macau","China"
"China","Malaysia"
"China","Thailand"
"China","South Korea"
"China","Thailand"
"China","Hong Kong"
"China","Thailand"
"China","Japan"
"China","Taiwan"
"China","Japan"
"China","Macau"
"China","Cambodia"
"China","Singapore"
"China","Japan"
"China","Taiwan"
"Cambodia","China"
"Singapore","China"
"China","Taiwan"
"Japan","China"
"Taiwan","China"
"Taiwan","China"
"Saudi Arabia","Chad"
"Anguilla","Puerto Rico"
"British Virgin Islands","Puerto Rico"
"British Virgin Islands","Virgin Islands"
"Saint Kitts and Nevis","Puerto Rico"
"Puerto Rico","Anguilla"
"Puerto Rico","British Virgin Islands"
"Puerto Rico","Saint Kitts and Nevis"
"Puerto Rico","Virgin Islands"
"Puerto Rico","Virgin Islands"
"Puerto Rico","British Virgin Islands"
"Virgin Islands","British Virgin Islands"
"Virgin Islands","Puerto Rico"
"Virgin Islands","Puerto Rico"
"Virgin Islands","Puerto Rico"
"British Virgin Islands","Puerto Rico"
"Puerto Rico","Virgin Islands"
"Belize","Mexico"
"Belize","Guatemala"
"Belize","Mexico"
"Belize","Honduras"
"Belize","Honduras"
"Mexico","Belize"
"Guatemala","Belize"
"Mexico","Belize"
"Honduras","Belize"
"Honduras","Belize"
"Russia","Moldova"
"Greece","Moldova"
"Italy","Moldova"
"France","Moldova"
"Russia","Moldova"
"Ireland","Moldova"
"Italy","Moldova"
"Germany","Moldova"
"Turkey","Moldova"
"Ukraine","Moldova"
"Moldova","Russia"
"Moldova","Greece"
"Moldova","Italy"
"Moldova","France"
